2022-05-31 14:07:14 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2022-05-31 14:07:14 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2022-05-31 14:07:14 install libudev1:arm64 <none> 237-3ubuntu10
2022-05-31 14:07:14 status half-installed libudev1:arm64 237-3ubuntu10
2022-05-31 14:07:14 status unpacked libudev1:arm64 237-3ubuntu10
2022-05-31 14:07:14 status unpacked libudev1:arm64 237-3ubuntu10
2022-05-31 14:07:14 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2022-05-31 14:07:14 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2022-05-31 14:07:14 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2022-05-31 14:07:14 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2022-05-31 14:07:14 install login:arm64 <none> 1:4.5-1ubuntu1
2022-05-31 14:07:14 status half-installed login:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:14 status unpacked login:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:14 status unpacked login:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:14 install lsb-base:all <none> 9.20170808ubuntu1
2022-05-31 14:07:14 status half-installed lsb-base:all 9.20170808ubuntu1
2022-05-31 14:07:14 status unpacked lsb-base:all 9.20170808ubuntu1
2022-05-31 14:07:14 status unpacked lsb-base:all 9.20170808ubuntu1
2022-05-31 14:07:15 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-05-31 14:07:15 status half-configured mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 status half-installed mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 status half-installed mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 status unpacked mawk:arm64 1.3.3-17ubuntu3
2022-05-31 14:07:15 install mount:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:15 status half-installed mount:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:15 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:15 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:15 install ncurses-base:all <none> 6.1-1ubuntu1
2022-05-31 14:07:15 status half-installed ncurses-base:all 6.1-1ubuntu1
2022-05-31 14:07:15 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-05-31 14:07:15 status unpacked ncurses-base:all 6.1-1ubuntu1
2022-05-31 14:07:15 install ncurses-bin:arm64 <none> 6.1-1ubuntu1
2022-05-31 14:07:15 status half-installed ncurses-bin:arm64 6.1-1ubuntu1
2022-05-31 14:07:15 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2022-05-31 14:07:15 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2022-05-31 14:07:15 install passwd:arm64 <none> 1:4.5-1ubuntu1
2022-05-31 14:07:15 status half-installed passwd:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:15 status unpacked passwd:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:15 status unpacked passwd:arm64 1:4.5-1ubuntu1
2022-05-31 14:07:15 upgrade perl-base:arm64 5.26.1-6 5.26.1-6
2022-05-31 14:07:15 status half-configured perl-base:arm64 5.26.1-6
2022-05-31 14:07:15 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:15 status half-installed perl-base:arm64 5.26.1-6
2022-05-31 14:07:16 status half-installed perl-base:arm64 5.26.1-6
2022-05-31 14:07:16 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:16 status unpacked perl-base:arm64 5.26.1-6
2022-05-31 14:07:16 install procps:arm64 <none> 2:3.3.12-3ubuntu1
2022-05-31 14:07:16 status half-installed procps:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:16 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:16 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:16 install sed:arm64 <none> 4.4-2
2022-05-31 14:07:16 status half-installed sed:arm64 4.4-2
